"(133.5000, 5726.7144), 10.8715","(175.6000, 5726.6001), 10.8407","(217.6000, 5726.6001), 10.8407","(259.4562, 5726.3359), 10.8580","(301.5000, 5726.2856), 10.8715","(343.4815, 5725.7222), 10.8515","(385.6000, 5725.6001), 10.8407","(427.6579, 5725.6577), 10.9218","(469.5608, 5725.2720), 10.8118","(511.3214, 5725.0000), 10.8939","(553.7778, 5724.7778), 10.8828","(595.7105, 5724.7104), 10.9044","(638.0000, 5724.5000), 10.9660","(680.1074, 5724.1743), 10.8261","(722.5000, 5724.1924), 10.8265","(764.5000, 5723.7632), 10.7504","(806.3358, 5723.5439), 10.8579","(848.5438, 5723.3359), 10.8579","(890.6786, 5723.1069), 10.9433","(932.6579, 5722.6577), 10.9218","(975.2719, 5722.5610), 10.8118","(1017.5000, 5722.6665), 10.8333","(1059.6000, 5722.3999), 10.8407","(1102.0000, 5722.0000), 10.8168","(1143.7142, 5721.5000), 10.8716","(1186.2858, 5721.5000), 10.8715","(1228.5000, 5721.2856), 10.8715","(1270.4562, 5720.6641), 10.8577","(1312.5438, 5720.3359), 10.8579","(1354.9574, 5720.2129), 10.9714"
"(133.8448, 5768.8447), 10.9725","(176.2222, 5768.7778), 10.8828","(218.2500, 5768.5000), 10.8542","(260.2857, 5768.5000), 10.8716","(302.0614, 5768.1143), 10.7566","(344.0000, 5768.0000), 10.8168","(386.0000, 5767.9688), 10.7995","(428.0000, 5767.5000), 10.7356","(469.9767, 5767.3486), 10.8801","(511.6818, 5767.2271), 10.6842","(553.9941, 5766.9707), 10.7956","(595.7500, 5766.5000), 10.8542","(638.5000, 5766.5000), 10.9773","(680.6000, 5766.3999), 10.8407","(722.7908, 5766.3896), 10.7380","(765.0000, 5766.0000), 10.8168","(806.8774, 5765.7168), 10.7660","(848.9360, 5765.3579), 10.9671","(891.0000, 5765.0000), 10.8168","(933.2635, 5764.9458), 10.9208","(975.5000, 5764.7144), 10.8715","(1017.8774, 5764.7168), 10.7660","(1060.2858, 5764.5000), 10.8715","(1102.5000, 5764.5000), 10.9773","(1144.3578, 5763.9360), 10.9671","(1186.6578, 5763.6577), 10.9219","(1228.9303, 5763.4424), 11.0117","(1271.0000, 5763.0000), 10.8168","(1313.3572, 5762.9287), 11.0773","(1355.5000, 5762.5000), 10.9773"
"(134.3421, 5810.6577), 10.9218","(176.5920, 5810.7681), 10.7937","(218.5000, 5810.5000), 10.7006","(260.5000, 5810.3335), 10.8333","(302.4288, 5810.2329), 10.7836","(344.1707, 5810.2197), 10.9081","(386.3429, 5809.7715), 10.8246","(428.4000, 5809.6001), 10.8408","(470.5000, 5809.6665), 10.8333","(512.3220, 5809.3306), 10.7418","(554.3485, 5809.0254), 10.8815","(596.4125, 5808.7251), 10.8282","(638.7143, 5808.5713), 10.8289","(680.8077, 5808.5000), 10.8265","(723.1846, 5808.3540), 10.7815","(765.5000, 5808.2500), 10.8542","(807.5000, 5808.0000), 10.9660","(849.2500, 5807.5000), 10.8542","(891.5000, 5807.5000), 10.9773","(933.8000, 5807.2002), 10.9126","(976.0000, 5807.0000), 10.8168","(1018.2000, 5806.7998), 10.9123","(1060.5000, 5806.5000), 10.9773","(1102.5875, 5806.2749), 10.8282","(1144.7208, 5805.8813), 10.9862","(1187.2106, 5806.0000), 10.9925","(1229.2858, 5805.5000), 10.8715","(1271.5000, 5805.2856), 10.8715","(1313.6422, 5805.0640), 10.9670","(1356.0690, 5804.7930), 11.0272"
"(134.3358, 5852.5439), 10.8579","(176.5000, 5852.5000), 10.7006","(218.5000, 5852.2856), 10.8715","(260.0000, 5852.0000), 10.8168","(302.3936, 5851.7979), 10.7380","(344.5000, 5852.0000), 10.7356","(386.4000, 5851.6001), 10.8408","(428.6642, 5851.5439), 10.8579","(470.6724, 5851.3276), 10.7420","(512.6724, 5851.3276), 10.7420","(554.5000, 5850.7500), 10.8542","(596.7000, 5850.7998), 10.8226","(639.1071, 5850.6787), 10.9436","(681.3358, 5850.5439), 10.8579","(723.6000, 5850.3999), 10.8407","(765.6780, 5850.3306), 10.7418","(807.6462, 5849.8154), 10.7814","(849.2857, 5849.5000), 10.8716","(891.6334, 5849.3667), 10.7953","(934.3235, 5849.3237), 10.7365","(976.5000, 5849.2500), 10.8542","(1019.0000, 5849.2104), 10.9925","(1060.7142, 5848.5000), 10.8716","(1103.2500, 5848.5000), 10.8542","(1145.0000, 5848.0000), 10.8168","(1187.5000, 5848.0000), 11.0115","(1229.6578, 5847.6577), 10.9219","(1272.0000, 5847.5312), 10.9874","(1314.5000, 5847.5000), 10.9773","(1356.7258, 5847.2744), 11.0173"
"(134.5000, 5894.5000), 10.9773","(176.1742, 5894.2197), 10.9062","(218.0000, 5894.0000), 10.8168","(260.0000, 5894.0000), 10.8168","(301.9884, 5893.6743), 10.8849","(343.7708, 5893.7637), 11.0759","(386.1071, 5893.3213), 10.9435","(428.1818, 5893.2954), 10.8349","(470.2830, 5893.1226), 10.7660","(512.0000, 5892.9688), 10.7995","(554.2719, 5892.5610), 10.8118","(596.3214, 5892.4521), 10.8476","(638.7178, 5892.3765), 10.7620","(681.2857, 5892.5000), 10.8716","(723.5000, 5892.2856), 10.8715","(765.7007, 5892.0620), 10.9421","(807.7843, 5891.9014), 10.9434","(849.5438, 5891.3359), 10.8579","(891.8000, 5891.2002), 10.9126","(934.0000, 5891.0000), 10.8168","(976.2000, 5890.7998), 10.9123","(1018.4000, 5890.6001), 10.8408","(1060.5000, 5890.2856), 10.8715","(1103.0476, 5890.2383), 10.9900","(1145.2263, 5890.0273), 10.9910","(1187.4000, 5889.6001), 10.8408","(1229.5000, 5889.5000), 10.9773","(1271.9579, 5889.4067), 10.9666","(1314.5000, 5889.5000), 10.9773","(1356.5000, 5888.5000), 10.9773"
"(135.0882, 5936.7354), 10.9849","(177.2500, 5936.5000), 10.8542","(218.5725, 5936.2280), 10.7802","(261.0000, 5936.0000), 10.8168","(303.0000, 5936.0000), 10.8168","(344.7843, 5935.9014), 10.9434","(387.2222, 5935.7778), 10.8828","(429.3421, 5935.6577), 10.9218","(471.4000, 5935.3999), 10.8408","(513.2000, 5935.2002), 10.9124","(555.4066, 5935.0420), 10.9665","(597.5609, 5934.7280), 10.8117","(639.8154, 5934.6460), 10.7813","(682.2541, 5934.8892), 10.9691","(724.5298, 5934.3882), 10.8958","(766.6642, 5934.4561), 10.8577","(808.6786, 5934.1069), 10.9433","(850.4524, 5933.6787), 10.8475","(892.5000, 5933.5000), 10.9773","(934.6791, 5933.3359), 10.7459","(977.0000, 5933.0000), 10.8168","(1019.1780, 5932.6865), 10.9836","(1061.5000, 5932.5000), 10.9773","(1103.5000, 5932.5000), 10.9773","(1145.6862, 5931.9014), 11.1330","(1187.7903, 5931.7905), 11.1076","(1230.0000, 5931.5000), 11.2362","(1272.3064, 5931.3066), 11.2420","(1314.4236, 5931.2324), 11.2473","(1356.9688, 5930.9688), 11.3580"
"(135.6023, 5978.9316), 10.9867","(177.6000, 5978.6001), 10.8407","(219.5000, 5978.5000), 10.7006","(261.5000, 5978.1875), 10.8242","(303.5000, 5978.1665), 10.8141","(345.5000, 5978.1665), 10.8141","(387.7843, 5977.9014), 10.9434","(430.0000, 5977.5000), 10.7356","(472.0000, 5977.5000), 10.7356","(513.8333, 5977.5000), 10.8142","(555.8860, 5977.0615), 10.7566","(598.2264, 5977.0273), 10.9909","(640.5000, 5977.1665), 10.8141","(682.6572, 5976.7715), 10.8246","(724.7714, 5976.6572), 10.8246","(766.9948, 5976.5317), 10.9838","(809.5000, 5976.5000), 10.9773","(851.0000, 5976.0000), 10.8168","(893.2000, 5975.7998), 10.9123","(935.3358, 5975.5439), 10.8579","(977.5000, 5975.2856), 10.8715","(1019.6786, 5975.1069), 10.9433","(1062.0000, 5975.0000), 10.8168","(1104.1072, 5974.6787), 10.9435","(1146.5000, 5974.5000), 10.9773","(1188.3008, 5974.0581), 10.9390","(1230.5000, 5973.5000), 10.9773","(1273.1765, 5973.8677), 10.9836","(1315.5000, 5973.5000), 10.9773","(1358.2858, 5973.5000), 10.8715"
"(136.1846, 6020.6460), 10.7812","(178.1667, 6020.5000), 10.8142","(219.8333, 6020.5000), 10.8142","(261.9748, 6020.3486), 10.8816","(304.0909, 6020.2729), 10.8961","(346.0000, 6020.0000), 10.8168","(388.0000, 6020.0000), 10.8168","(430.2615, 6019.6377), 10.7397","(472.2719, 6019.5610), 10.8118","(514.3358, 6019.5439), 10.8579","(556.0000, 6019.0000), 10.8168","(598.3831, 6019.1753), 10.7581","(640.6160, 6018.8242), 10.7584","(682.7778, 6018.7778), 10.8828","(725.0000, 6018.5386), 10.9818","(767.3358, 6018.5439), 10.8579","(809.5000, 6018.5000), 10.9773","(851.1504, 6018.0527), 10.7783","(893.3085, 6017.8726), 11.0063","(935.6579, 6017.6577), 10.9218","(977.6000, 6017.3999), 10.8407","(1020.1185, 6017.2793), 10.9864","(1062.3240, 6017.0845), 10.9307","(1104.5000, 6016.7144), 10.8716","(1146.7142, 6016.5000), 10.8716","(1188.8292, 6016.2197), 10.9081","(1231.0000, 6016.0000), 11.1804","(1273.5198, 6015.9189), 11.0480","(1316.1552, 6015.8447), 10.9724","(1358.5000, 6015.5000), 10.9773"
"(136.4392, 6062.7280), 10.8116","(178.5000, 6062.6665), 10.8333","(220.1939, 6062.4185), 10.7557","(262.3667, 6062.3667), 10.7952","(304.4288, 6062.2329), 10.7836","(346.1504, 6062.0527), 10.7783","(388.3214, 6062.1069), 10.9434","(430.6571, 6061.7715), 10.8246","(472.5244, 6061.6831), 10.8320","(514.5000, 6061.5000), 10.7006","(556.0000, 6061.0000), 10.8168","(598.5000, 6061.1665), 10.8141","(640.9500, 6061.0000), 10.7891","(682.7714, 6060.6572), 10.8246","(724.9231, 6060.2310), 11.0099","(767.3358, 6060.5439), 10.8579","(809.6000, 6060.3999), 10.8407","(851.5000, 6060.2856), 10.8715","(893.7692, 6060.0771), 11.0100","(935.7778, 6059.7778), 10.8828","(978.1923, 6059.5000), 10.8264","(1020.5438, 6059.3359), 10.8579","(1062.8000, 6059.2002), 10.9126","(1105.0000, 6059.0000), 10.8168","(1147.3533, 6058.8584), 11.0366","(1189.5438, 6058.6641), 10.8579","(1231.9303, 6058.4424), 11.0117","(1274.2542, 6058.1108), 10.9691","(1316.5834, 6058.0557), 10.9829","(1359.0000, 6058.0000), 10.8168"
"(136.8000, 6104.7998), 10.9126","(178.8077, 6104.5000), 10.8265","(220.7143, 6104.5000), 10.8716","(262.7714, 6104.3428), 10.8246","(304.7000, 6104.2002), 10.8226","(346.5816, 6104.1938), 10.7556","(388.8496, 6104.0527), 10.7783","(430.9946, 6103.9731), 10.7974","(472.6724, 6103.6724), 10.7420","(514.6000, 6103.3999), 10.8407","(556.4288, 6103.2329), 10.7836","(598.6744, 6103.0117), 10.8849","(641.0000, 6103.0000), 10.8168","(683.2105, 6103.0000), 10.9926","(725.4562, 6102.6641), 10.8577","(767.5000, 6102.5000), 10.9773","(809.6000, 6102.3999), 10.8407","(851.4167, 6101.9443), 10.9828","(894.0000, 6102.0000), 10.8168","(936.0000, 6101.6665), 10.8832","(978.5000, 6101.6665), 10.8333","(1020.7143, 6101.5000), 10.8716","(1063.2285, 6101.3428), 10.8246","(1105.5875, 6101.2749), 10.8282","(1148.0000, 6101.0000), 10.8168","(1189.8815, 6100.7207), 10.9861","(1232.3422, 6100.6577), 10.9218","(1274.7142, 6100.5000), 10.8716","(1317.0476, 6100.2383), 10.9900","(1359.3977, 6100.0684), 10.9867"
"(137.0000, 6146.5000), 10.7356","(179.0000, 6146.5000), 10.7356","(220.8333, 6146.5000), 10.8142","(262.8333, 6146.5000), 10.8142","(305.0000, 6146.1431), 10.7383","(346.9243, 6146.0303), 10.7708","(389.0000, 6146.0000), 10.8168","(431.0000, 6145.6333), 10.6177","(473.0000, 6145.6333), 10.6177","(514.6000, 6145.3999), 10.8407","(556.6724, 6145.3276), 10.7420","(598.8860, 6145.0615), 10.7566","(640.8496, 6145.0527), 10.7783","(683.5385, 6145.0000), 10.9818","(725.7931, 6145.0688), 11.0273","(767.9700, 6144.6802), 11.0683","(809.8333, 6144.5000), 10.8142","(851.5816, 6144.1938), 10.7557","(894.3239, 6144.0845), 10.9307","(936.5000, 6144.0000), 10.9660","(978.7778, 6143.7778), 10.8828","(1021.2750, 6143.5874), 10.8280","(1063.6786, 6143.5479), 10.8476","(1106.0253, 6143.3486), 10.8815","(1148.5000, 6143.2856), 10.8715","(1190.6666, 6143.1113), 10.9350","(1232.7843, 6142.9014), 10.9434","(1275.2500, 6142.5000), 10.8542","(1317.5000, 6142.5000), 10.9773","(1360.0570, 6142.4619), 11.0334"
"(137.2719, 6188.5610), 10.8118","(179.1939, 6188.4185), 10.7557","(221.1846, 6188.3540), 10.7815","(262.9471, 6188.1504), 10.7784","(305.4080, 6188.2319), 10.7936","(347.1429, 6188.0000), 10.7382","(389.5000, 6188.1665), 10.8141","(431.2143, 6187.7856), 10.6547","(473.0000, 6187.5000), 10.7356","(515.0000, 6187.5000), 10.7356","(557.0874, 6187.2427), 10.7577","(599.0000, 6187.0000), 10.8168","(641.4184, 6187.1938), 10.7556","(683.5000, 6187.2500), 10.8542","(726.0000, 6187.0000), 10.8168","(768.2541, 6186.8892), 10.9691","(810.2719, 6186.5610), 10.8118","(852.0361, 6186.2217), 10.8215","(894.5000, 6186.2856), 10.8715","(936.6786, 6186.0000), 10.8939","(979.3578, 6185.9360), 10.9671","(1021.6915, 6185.8726), 11.0063","(1064.2000, 6185.7998), 10.9123","(1106.6578, 6185.6577), 10.9219","(1148.8334, 6185.5000), 10.8142","(1191.1780, 6185.3135), 10.9836","(1233.2500, 6185.0000), 10.9574","(1275.5000, 6184.7144), 10.8716","(1317.9712, 6184.6729), 11.0641","(1360.5000, 6184.5000), 10.9773"
"(137.0000, 6230.5000), 10.7356","(179.1846, 6230.3540), 10.7815","(221.1846, 6230.3540), 10.7815","(263.0000, 6230.0000), 10.8168","(305.4288, 6230.2329), 10.7836","(347.1504, 6229.9473), 10.7783","(389.4939, 6229.7075), 10.8698","(431.5000, 6229.7632), 10.7504","(473.6724, 6229.6724), 10.7420","(515.3321, 6229.4775), 10.8210","(557.2551, 6229.4185), 10.7247","(599.4288, 6229.2329), 10.7836","(641.6822, 6229.2202), 10.6806","(684.0986, 6229.2158), 10.9435","(726.4571, 6229.0195), 10.9659","(768.5000, 6228.8569), 10.6697","(810.7459, 6228.8892), 10.9692","(852.7143, 6228.5000), 10.8716","(895.1667, 6228.5000), 10.8142","(937.3428, 6228.2285), 10.8246","(979.6422, 6228.0640), 10.9671","(1022.0000, 6228.0000), 10.8168","(1064.5430, 6227.9805), 10.9659","(1107.0000, 6228.0000), 10.8168","(1149.2719, 6227.5610), 10.8118","(1191.3667, 6227.3667), 10.7952","(1233.5000, 6227.2856), 10.8715","(1276.0000, 6227.0000), 10.8168","(1318.2419, 6226.7583), 10.9718","(1360.6578, 6226.6577), 10.9219"
"(137.3276, 6272.3276), 10.7419","(179.2021, 6272.3936), 10.7380","(221.3428, 6272.2285), 10.8246","(263.1743, 6272.2197), 10.9062","(305.4288, 6272.2329), 10.7836","(347.5000, 6272.1665), 10.8141","(389.6461, 6271.8154), 10.7814","(431.6376, 6271.7388), 10.7398","(473.7350, 6271.6797), 10.7046","(515.7669, 6271.5713), 10.7839","(557.7669, 6271.5713), 10.7839","(599.6780, 6271.3306), 10.7418","(642.1226, 6271.2832), 10.7662","(684.5438, 6271.3359), 10.8579","(726.8666, 6271.1333), 11.0017","(769.0000, 6271.0000), 10.8168","(811.4674, 6270.9780), 10.9723","(853.3358, 6270.5439), 10.8579","(895.3358, 6270.5439), 10.8579","(937.7143, 6270.5000), 10.8716","(980.1780, 6270.3135), 10.9836","(1022.5000, 6270.2856), 10.8715","(1065.0000, 6270.0000), 10.8168","(1107.3214, 6270.0000), 10.8939","(1149.5438, 6269.6641), 10.8579","(1191.7142, 6269.5000), 10.8716","(1234.0000, 6269.3213), 10.8938","(1276.0000, 6269.0000), 10.8168","(1318.6364, 6269.0000), 11.0226","(1361.1106, 6268.7461), 10.9694"
"(137.7143, 6314.5000), 10.8716","(179.4080, 6314.2319), 10.7936","(221.5000, 6314.2500), 10.7617","(263.4288, 6314.2329), 10.7836","(305.5000, 6314.1924), 10.8265","(347.6333, 6314.0000), 10.6177","(390.0000, 6314.0000), 10.8168","(432.0000, 6313.9688), 10.7995","(474.1250, 6313.8750), 10.6435","(516.0000, 6313.7500), 10.6801","(558.2719, 6313.5610), 10.8118","(600.1429, 6313.5000), 10.6698","(642.5000, 6313.5000), 10.7006","(685.0769, 6313.2310), 11.0097","(727.2895, 6313.2896), 10.9045","(769.4288, 6313.2329), 10.7836","(811.8666, 6313.1333), 11.0017","(853.4524, 6312.6787), 10.8475","(896.1185, 6312.7207), 10.9864","(938.3421, 6312.6577), 10.9218","(980.7143, 6312.5000), 10.8716","(1023.1111, 6312.3335), 10.9348","(1065.5000, 6312.2856), 10.8715","(1107.5000, 6312.2856), 10.8715","(1150.0000, 6312.0000), 10.8168","(1192.2500, 6311.5000), 10.8542","(1234.3422, 6311.6577), 10.9218","(1276.7250, 6311.4126), 10.8281","(1319.0000, 6311.2104), 10.9925","(1361.6786, 6311.1069), 10.9433"
"(138.0000, 6356.5000), 10.7356","(179.7143, 6356.5000), 10.8716","(222.0909, 6356.2729), 10.8961","(264.2615, 6356.3623), 10.7396","(306.2615, 6356.3623), 10.7396","(348.1582, 6356.0571), 10.7778","(390.1707, 6356.2197), 10.9081","(432.5000, 6356.2856), 10.8715","(474.9500, 6356.0000), 10.7891","(516.7045, 6355.8184), 10.8351","(558.9382, 6355.6909), 10.5962","(601.0000, 6355.6250), 10.6251","(643.4000, 6355.3999), 10.8408","(685.7143, 6355.5000), 10.8716","(728.0101, 6355.3320), 10.8889","(770.2615, 6355.3623), 10.7396","(812.5000, 6355.2856), 10.8715","(854.0000, 6355.0000), 10.8168","(896.5000, 6354.9707), 10.9929","(938.9471, 6354.8496), 10.7784","(981.4125, 6354.7251), 10.8282","(1023.7250, 6354.5874), 10.8281","(1066.2858, 6354.5000), 10.8715","(1108.4562, 6354.3359), 10.8580","(1150.6571, 6354.2285), 10.8247","(1193.0000, 6354.0000), 10.8168","(1235.0000, 6354.0000), 10.8168","(1277.6000, 6353.6001), 10.8407","(1320.1923, 6353.5000), 10.8265","(1362.5000, 6353.2856), 10.8715"
"(138.4562, 6398.3359), 10.8580","(180.4562, 6398.3359), 10.8580","(222.5875, 6398.2749), 10.8282","(264.4562, 6398.3359), 10.8580","(307.0000, 6398.0000), 10.8168","(348.4288, 6398.2329), 10.7836","(390.8418, 6398.0571), 10.7777","(432.7500, 6398.2500), 10.7530","(475.1429, 6398.0000), 10.7382","(516.9946, 6397.9731), 10.7974","(558.9382, 6397.6909), 10.5962","(601.3276, 6397.6724), 10.7419","(643.6724, 6397.6724), 10.7420","(686.2000, 6397.7998), 10.9123","(728.4562, 6397.6641), 10.8577","(770.5000, 6397.4414), 10.6651","(812.6780, 6397.3306), 10.7418","(854.6299, 6397.0127), 10.6267","(897.2105, 6397.0000), 10.9926","(939.5000, 6397.1665), 10.8141","(981.7000, 6396.7998), 10.8226","(1024.0116, 6396.6743), 10.8848","(1066.5000, 6396.6665), 10.8333","(1108.8077, 6396.5000), 10.8264","(1151.0000, 6396.3213), 10.8938","(1193.0000, 6396.0000), 10.8168","(1235.6686, 6395.9717), 10.8719","(1278.0000, 6396.0000), 10.8168","(1320.5438, 6395.6641), 10.8579","(1363.2500, 6395.5000), 10.8542"
"(138.6622, 6440.3242), 10.7441","(180.7336, 6440.3599), 10.7398","(222.6724, 6440.3276), 10.7420","(264.6780, 6440.3306), 10.7418","(306.6765, 6440.3237), 10.7365","(348.5000, 6440.0000), 10.5476","(390.8860, 6440.0615), 10.7566","(433.1504, 6440.0527), 10.7783","(475.4184, 6440.1938), 10.7556","(517.5000, 6439.8569), 10.6697","(559.6462, 6439.8154), 10.7814","(601.7350, 6439.6797), 10.7046","(643.9382, 6439.6909), 10.5962","(686.4562, 6439.6641), 10.8577","(728.7714, 6439.6572), 10.8246","(770.8333, 6439.5000), 10.8142","(813.0000, 6439.5000), 10.7356","(855.0000, 6439.2251), 10.9797","(897.2000, 6439.2002), 10.9124","(939.6678, 6439.0103), 10.8891","(982.0000, 6439.0000), 10.8168","(1024.5000, 6438.7500), 10.8542","(1066.9884, 6438.6743), 10.8849","(1109.2894, 6438.7104), 10.9044","(1151.5000, 6438.5000), 10.7006","(1193.5000, 6438.1924), 10.8265","(1236.1333, 6438.1333), 11.0018","(1278.6515, 6438.0254), 10.8816","(1321.0000, 6438.0000), 10.8168","(1363.6571, 6437.7715), 10.8247"
